Country;Region;IMF Estimate;IMF Year;UN Estimate;IMF Year;World Bank Estimate;World Bank Year
Sudan;Africa;35,827;2021;34895;2019;26,111;2020
Estonia;Europe;35,187;2021;31471;2019;31,03;2020
Nepal;Asia;36,084;2021;30714;2019;33,657;2020
Cambodia;Asia;27,239;2021;27097;2019;25,291;2020
El Salvador;Americas;26,277;2021;27022;2019;24,639;2020
Honduras;Americas;26,161;2021;25095;2019;23,828;2020
Cyprus;Asia;26,479;2021;24565;[n 10]2019;23,804;2020
Senegal;Africa;27,927;2021;23664;2019;24,911;2020
Papua New Guinea;Oceania;24,536;2021;24969;2019;23,592;2020
Yemen;Asia;25,095;2021;24935;2019;23,486;2018
Iceland;Europe;24,155;2021;24188;2019;21,715;2020
Trinidad and Tobago;Americas;22,161;2021;23208;2019;21,53;2020
Zimbabwe;Africa;26,085;2021;2144;2019;16,769;2020
Zambia;Africa;18,955;2021;23085;2019;19,32;2020
Bosnia and Herzegovina;Europe;21,953;2021;20164;2019;19,788;2020
Laos;Asia;20,44;2021;18822;2019;19,136;2020
Afghanistan;Asia;19,938;2021;17876;2019;19,807;2020
Botswana;Africa;18,726;2021;1834;2019;15,782;2020
Mali;Africa;19,912;2021;17432;2019;17,394;2020
Gabon;Africa;18,362;2021;16887;2019;15,593;2020
Georgia;Asia;16,163;2021;17742;2019;15,892;[n 11]2020
Burkina Faso;Africa;18,853;2021;1599;2019;17,369;2020
North Korea;Asia;N/A;;16331;2019;N/A;
Palestine;Asia;16,481;[n 12]2021;17058;[n 12]2019;15,561;2020
Albania;Europe;17,138;2021;15278;2019;14,8;2020
Jamaica;Americas;14,6;2021;1583;2019;13,812;2020
Malta;Europe;16,476;2021;14863;2019;14,647;2020
Benin;Africa;17,327;2021;14403;2019;15,652;2020
Haiti;Americas;22,431;2021;8051;2019;13,418;2020
Mozambique;Africa;13,957;2021;15296;2019;14,021;2020
Madagascar;Africa;14,746;2021;14104;2019;13,721;2020
Brunei;Asia;15,278;2021;13469;2019;12,016;2020
Mongolia;Asia;14,233;2021;13852;2019;13,137;2020
Niger;Africa;15,899;2021;12927;2019;13,678;2020
Guinea;Africa;16,339;2021;12354;2019;15,681;2020
Mauritius;Africa;12,212;2021;1418;2019;10,914;2020
Armenia;Asia;12,251;2021;13672;2019;12,645;2020
North Macedonia;Europe;13,821;2021;12694;2019;12,267;2020
Bahamas;Americas;11,706;2021;13578;2019;11,25;2020
Nicaragua;Americas;12,283;2021;1252;2019;12,621;2020
Congo;Africa;12,022;2021;12397;2019;10,885;2020
Namibia;Africa;11,381;2021;12366;2019;10,7;2020
Moldova;Europe;11,998;[n 13]2021;11955;[n 13]2019;11,914;2020
Chad;Africa;12,531;2021;11271;2019;10,093;2020
Equatorial Guinea;Africa;11,726;2021;11024;2019;10,022;2020
Rwanda;Africa;10,633;2021;10355;2019;10,334;2020
New Caledonia;Oceania;N/A;;9879;2019;2,682;2000
Malawi;Africa;9,268;2021;8099;2019;11,962;2020
Kosovo;Europe;8,81;2021;7952;2019;7,611;2020
Mauritania;Africa;9,239;2021;7593;2019;7,779;2020
Kyrgyzstan;Asia;7,47;2021;8454;2019;7,736;2020
Tajikistan;Asia;7,825;2021;8333;2019;8,194;2020
Bermuda;Americas;N/A;;7361;2019;7,484;2019
Monaco;Europe;N/A;;7423;2019;7,424;2019
Togo;Africa;8,627;2021;727;2019;7,575;2020
Liechtenstein;Europe;N/A;;6797;2019;6,839;2018
French Polynesia;Oceania;N/A;;6023;2019;3,448;2000
Guyana;Americas;7,255;2021;5173;2019;5,471;2020
Cayman Islands;Americas;N/A;;602;2019;5,936;2019
Montenegro;Europe;5,651;2021;5542;2019;4,779;2020
Maldives;Asia;4,536;2021;5642;2019;4,03;2020
Fiji;Oceania;4,586;2021;5504;2019;4,376;2020
Barbados;Americas;4,628;2021;5209;2019;4,366;2020
South Sudan;Africa;4,461;2021;4959;2019;11,998;2015
Eswatini;Africa;4,226;2021;4594;2019;3,962;2020
Sierra Leone;Africa;4,42;2021;4121;2019;3,865;2020
Somalia;Africa;5,367;2021;1626;2019;4,918;2020
Djibouti;Africa;3,663;2021;3166;2019;3,384;2020
Suriname;Americas;2,465;2021;3697;2019;3,808;2020
Andorra;Europe;N/A;;3154;2019;3,155;2019
Curaçao;Americas;N/A;;3101;2019;3,102;2019
Burundi;Africa;3,244;2021;3002;2019;3,258;2020
Greenland;Americas;N/A;;3023;2019;3,052;2018
Liberia;Africa;3,37;2021;2582;2019;2,95;2020
Aruba;Americas;2,582;2021;3293;2019;3,202;2018
Bhutan;Asia;2,48;2021;2564;2019;2,409;2020
Lesotho;Africa;2,458;2021;246;2019;1,845;2020
Central African Republic;Africa;2,718;2021;222;2019;2,303;2020
Eritrea;Africa;2,25;2021;1981;2019;2,065;2011
Saint Lucia;Americas;1,787;2021;2122;2019;1,703;2020
Cape Verde;Africa;2,003;2021;1981;2019;1,704;2020
Timor-Leste;Asia;1,726;2021;2017;2019;1,821;2020
Gambia;Africa;2,078;2021;1822;2019;1,902;2020
Belize;Americas;1,7;2021;1906;2019;1,764;2020
Zanzibar;Africa;N/A;;1805;2019;N/A;
San Marino;Europe;1,688;2021;1602;2019;1,616;2019
Antigua and Barbuda;Americas;1,376;2021;1661;2019;1,415;2020
Solomon Islands;Oceania;1,644;2021;1302;2019;1,551;2020
Seychelles;Africa;948;2021;1698;2019;1,125;2020
Guinea-Bissau;Africa;1,647;2021;1322;2019;1,432;2020
British Virgin Islands;Americas;N/A;;1296;2019;N/A;
Comoros;Africa;1,309;2021;1165;2019;1,22;2020
Turks and Caicos;Americas;N/A;;1197;2019;925;2020
Grenada;Americas;1,041;2021;1211;2019;1,089;2020
Sint Maarten;Americas;N/A;1,009;2019;1,185;2018;
Saint Kitts and Nevis;Americas;831;2021;105;2019;927;2020
Vanuatu;Oceania;912;2021;906;2019;855;2020
Saint Vincent and the Grenadines;Americas;798;2021;825;2019;810;2020
Samoa;Oceania;752;2021;844;2019;807;2020
Dominica;Americas;523;2021;582;2019;470;2020
Tonga;Oceania;508;2021;508;2019;512;2019
São Tomé and Príncipe;Africa;485;2021;421;2019;473;2020
Micronesia;Oceania;401;2021;414;2019;408;2019
Cook Islands;Oceania;N/A;;379;2019;N/A;
Anguilla;Americas;N/A;;379;2019;N/A;
Palau;Oceania;229;2021;280;2019;268;2019
Marshall Islands;Oceania;234;2021;237;2019;239;2019
Kiribati;Oceania;231;2021;194;2019;200;2020
Nauru;Oceania;133;2021;132;2019;118;2019
Montserrat;Americas;N/A;;67;2019;N/A;
Tuvalu;Oceania;57;2021;47;2019;49;2020
